distance_from_home,distance_from_last_transaction,ratio_to_median_purchase_price,repeat_retailer,used_chip,used_pin_number,online_order,fraud
11.822174184710986,5.705500649583303,6.538952380519718,1.0,0.0,0.0,1.0,1.0
38.56076756880639,0.1059087865103102,0.3845734688490022,1.0,1.0,0.0,1.0,0.0
34.253252393846665,0.7325426879859618,0.2796914247092543,1.0,0.0,0.0,1.0,0.0
27.334097472944187,4.800639826702856,4.198972555040483,1.0,1.0,0.0,1.0,1.0
3.8331967423417774,0.0239008113466145,1.2009472723443648,1.0,1.0,0.0,0.0,0.0
51.8324239355825,1.552757688045003,0.4826102393707327,1.0,0.0,0.0,1.0,0.0
14.329338863409262,0.1222378225900273,7.090192853644018,1.0,0.0,0.0,1.0,1.0
13.343034477904084,1.2683896006749698,1.007018183377639,1.0,0.0,0.0,0.0,0.0
64.55740408261005,7.567644210892408,4.632280191145652,1.0,0.0,0.0,1.0,1.0
1.0196141619834078,1.561406190224362,2.865632721868655,0.0,0.0,0.0,1.0,0.0
0.7062810186488854,8.376879948198772,0.7625210358013284,0.0,0.0,0.0,1.0,0.0
1.437873758821113,1.1702357185296817,0.7577039225612754,0.0,0.0,0.0,0.0,0.0
1.7883570436159864,3.285473646398224,0.4123647131479578,0.0,0.0,0.0,0.0,0.0
1.4397414527362715,44.85880269042397,0.1904766880580073,0.0,0.0,0.0,1.0,0.0
23.6361086676723,1.8753537681965928,1.3475898701599525,1.0,1.0,0.0,0.0,0.0
78.95151779383768,0.5593966331240109,1.7118527250552662,1.0,0.0,0.0,1.0,0.0
68.1740262543296,0.4784526828093867,0.125594506422682,1.0,1.0,0.0,0.0,0.0
1614.210621264746,2.2070576928634136,0.5665010052741299,1.0,1.0,0.0,1.0,0.0
4.1764672196549295,0.1944488510474288,0.5524590029913873,1.0,0.0,0.0,1.0,0.0
25.617491789660964,0.0503458470439509,0.163075361393779,1.0,0.0,0.0,1.0,0.0
24.473594785500367,0.0643575775848677,1.0366604056097268,1.0,0.0,0.0,0.0,0.0
1.5755736832180738,1.1362870843879418,1.1530648239426735,0.0,0.0,1.0,0.0,0.0
69.4453820864447,0.6723143292758313,0.7976082111615614,1.0,0.0,0.0,1.0,0.0
